contentid,title,contenttypeid,areacode,sigungucode,cat1,cat2,cat3,mapx,mapy,addr1,lDongRegnCd,lDongSignguCd
125657,청평사계곡,12,32,13,A01,A0101,A01010900,127.8137800650,37.9810241346,강원특별자치도 춘천시 북산면 오봉산길 810,51,110
250294,자규루 및 관풍헌,12,32,8,A02,A0201,A02010700,128.4705055391,37.1836427012,강원특별자치도 영월군 영월읍 중앙로 61,51,750
126894,김삿갓 계곡,12,32,8,A01,A0101,A01010900,128.6085978126,37.1205109135,강원특별자치도 영월군 김삿갓면 와석리,51,750
125667,미천골계곡,12,32,7,A01,A0101,A01010900,128.5168416407,37.9663475514,강원특별자치도 양양군 서면 구룡령로,51,830
1932003,외옹치해변,12,32,5,A01,A0101,A01011200,128.6076711543,38.1822047750,강원특별자치도 속초시 해오름로 83 (대포동),51,210
2774730,천년학 힐링타운,12,32,4,A01,A0101,A01010500,129.2968301742,37.1414856522,강원특별자치도 삼척시 원덕읍 사곡길 43-127,51,230
3042140,양양남대천체육공원,12,32,7,A02,A0202,A02020700,128.6261256149,38.0744565530,강원특별자치도 양양군 양양읍 연창리,51,830
3041483,영금정갯바위,12,32,5,A01,A0101,A01010500,128.6011596682,38.2131260499,강원특별자치도 속초시 영랑해안길 18 (동명동),51,210
3041402,설악산책,12,32,5,A02,A0202,A02020200,128.5351355615,38.1987042227,강원특별자치도 속초시 관광로 439 (노학동),51,210
2753128,르꼬따쥬,12,32,1,A02,A0203,A02030400,128.8643296445,37.7875861221,강원특별자치도 강릉시 한밭골길 50-11,51,150
688257,국립 백운산자연휴양림(원주),12,32,9,A01,A0101,A01010600,127.9421225302,37.2772136803,강원특별자치도 원주시 판부면 백운산길 81,51,130
128754,법흥계곡,12,32,8,A01,A0101,A01010900,128.2591872834,37.3159345825,강원특별자치도 영월군 수주면,51,750
128174,국립 복주산자연휴양림,12,32,12,A01,A0101,A01010600,127.4732201929,38.1437543593,강원특별자치도 철원군 근남면 하오재로 818,51,780
125719,작은후진해수욕장,12,32,4,A01,A0101,A01011200,129.1758977619,37.4638879088,강원특별자치도 삼척시 새천년도로 467,51,230
125645,관음사·국형사계곡,12,32,9,A01,A0101,A01010900,128.0141255047,37.3336557250,강원특별자치도 원주시 고문골길 169 (행구동),51,130
125643,천은사계곡(원주),12,32,9,A01,A0101,A01010900,127.9022747053,37.2302989116,강원특별자치도 원주시 귀래면 귀래리,51,130
2710610,하중도수변생태공원,12,32,13,A01,A0101,A01010500,127.6899693958,37.8784698682,강원특별자치도 춘천시 하중도 650-2,51,110
2570295,거례리 수목공원&반지교,12,32,17,A02,A0202,A02020700,127.6897357562,38.0760051882,강원특별자치도 화천군 하남면 거례리 514-1,51,790
2511677,정감이마을,12,32,1,A02,A0203,A02030100,128.9558541452,37.7168821954,강원특별자치도 강릉시 강동면 둔지길 81,51,150
647272,용소폭포(연하계곡),12,32,8,A01,A0101,A01010800,128.5672244618,37.1898493765,강원특별자치도 영월군 영월읍 연하리,51,750
128097,화악산,12,32,17,A01,A0101,A01010400,127.5221435572,38.0482386379,강원특별자치도 화천군 사내면 삼일리,51,790
125791,송담서원(강릉),12,32,1,A02,A0201,A02010700,128.9292100595,37.6929622184,강원특별자치도 강릉시 강동면 송담서원길 27-7,51,150
125776,구미정,12,32,11,A02,A0201,A02010700,128.8263954774,37.4732355895,강원특별자치도 정선군 임계면 봉산리,51,770
125726,인제 미산리 개인약수,12,32,10,A01,A0101,A01011000,128.3703329030,37.8686699628,강원특별자치도 인제군 상남면 개인약수길 546,51,810
125644,용수골계곡,12,32,9,A01,A0101,A01010900,127.9420197173,37.2787523899,강원특별자치도 원주시 판부면 서곡리,51,130
3040955,동명항오징어난전,12,32,5,A02,A0203,A02030600,128.5943437071,38.2103706819,강원특별자치도 속초시 설악금강대교로 228 (동명동),51,210
3037190,남노일강변유원지,12,32,16,A01,A0101,A01011800,127.7607216628,37.6779861466,강원특별자치도 홍천군 남면 남노일리,51,720
3036538,아우라지선착장,12,32,11,A02,A0202,A02020800,128.7258877667,37.4755861584,강원특별자치도 정선군 여량면 아우라지길 78,51,770
128724,오봉서원,12,32,1,A02,A0201,A02010700,128.8194360565,37.7108663466,강원특별자치도 강릉시 성산면 오봉서원길 28-7,51,150
126895,부연동마을,12,32,1,A02,A0203,A02030100,128.6318759309,37.8677834315,강원특별자치도 강릉시 연곡면 삼산리 1298,51,150
125769,강릉 굴산사지,12,32,1,A02,A0201,A02010700,128.8918046506,37.7072681694,강원특별자치도 강릉시 구정면 학산리,51,150
125734,홍천 무궁화공원,12,32,16,A02,A0202,A02020700,127.8719475656,37.6819627582,강원특별자치도 홍천군 홍천읍 장전평로 18,51,720
125669,구룡폭포(소금강),12,32,1,A01,A0101,A01010800,128.6835093795,37.8026919730,강원특별자치도 강릉시 연곡면 소금강길 500,51,150
125626,용소계곡,12,32,16,A01,A0101,A01010900,128.1294964354,37.8676377174,강원특별자치도 홍천군 내촌면 광암리,51,720
323007,심원사(철원),12,32,12,A02,A0201,A02010800,127.2496012165,38.1630924126,강원특별자치도 철원군 동송읍 상노1길 58,51,780
126643,대승령과 대승폭포,12,32,10,A01,A0101,A01010400,128.3415306083,38.1196152453,강원특별자치도 인제군 북면 설악로,51,810
1995974,삼굿마을(유전리산촌생태마을),12,32,8,A02,A0203,A02030100,128.7049132590,37.1519146937,강원특별자치도 영월군 중동면 유전길 115,51,750
125753,천은사(삼척),12,32,4,A02,A0201,A02010800,129.0423936468,37.4445347532,강원특별자치도 삼척시 미로면 동안로 816,51,230
125610,팔봉산(홍천),12,32,16,A01,A0101,A01010400,127.6951740981,37.7030736841,강원특별자치도 홍천군 서면 한치골길 1124,51,720
2710730,효석문학의숲,12,32,15,A02,A0202,A02020600,128.3576920694,37.6034282339,강원특별자치도 평창군 봉평면 문학숲길 97,51,760
125651,공수전계곡,12,32,7,A01,A0101,A01010900,128.5611022078,38.0340155463,강원특별자치도 양양군 서면 공수전리,51,830
128373,화천 토고미마을,12,32,17,A02,A0203,A02030100,127.6770184914,38.1347453208,강원특별자치도 화천군 상서면 토고미길 22-8,51,790
2394825,화천 산약초 마을,12,32,17,A02,A0203,A02030100,127.6042632575,38.1605548367,강원특별자치도 화천군 상서면 갈목길 157,51,790
1991092,동강시스타 리조트,12,32,8,A02,A0202,A02020200,128.5187307595,37.2177619104,강원특별자치도 영월군 영월읍 사지막길 160,51,750
125770,금강사(강릉),12,32,1,A02,A0201,A02010800,128.6909752621,37.8062833683,강원특별자치도 강릉시 연곡면 소금강길 670,51,150
127770,허브나라농원,12,32,15,A02,A0204,A02040800,128.3411258270,37.6390821263,강원특별자치도 평창군 봉평면 흥정계곡길 225,51,760
2789822,창안산산림욕장,12,32,17,A01,A0101,A01010600,127.5269452127,38.0712638185,강원특별자치도 화천군 사내면 사창리 산52,51,790
2616530,양의대 하천습지 (강원평화지역 국가지질공원),12,32,17,A01,A0101,A01011800,127.8032004706,38.2576666735,강원특별자치도 화천군 화천읍 풍산리,51,790
125599,용화산 (강원평화지역 국가지질공원),12,32,17,A01,A0101,A01010400,127.7437760990,38.0482927641,강원특별자치도 화천군 하남면 삼화리,51,790
3485602,근화수변 문화광장숲,12,32,13,A02,A0202,A02020700,127.6953300110,37.8787449354,강원특별자치도 춘천시 하중도길 227 (중도동),51,110
2710984,청정신흥마을,12,32,3,A02,A0201,A02010600,129.0210932573,37.5194784796,강원특별자치도 동해시 서동로 825-1,51,170
2788927,동명동성당,12,32,5,A02,A0201,A02010900,128.5958129203,38.2135064568,강원특별자치도 속초시 영랑로7길 10-5,51,210
129560,대금굴 (대이리 동굴지대),12,32,4,A01,A0101,A01011900,129.0205714417,37.3259535342,강원특별자치도 삼척시 신기면 환선로 800,51,230
128377,밤두둑마을,12,32,18,A02,A0203,A02030100,127.9614596944,37.4666727028,강원특별자치도 횡성군 횡성읍 반곡3길 6,51,730
128101,붕어섬&황톳길,12,32,17,A01,A0101,A01011300,127.6970121290,38.1007385507,강원특별자치도 화천군 화천읍 강변로 2-54,51,790
